"Part";"Value";"Device";"Package";"Description";"DESIGNER";"VERSION";
"C1";"100 nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C2";"4.7 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C3";"100 pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C4";"4.7 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C5";"10 nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C6";"4.7 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C7";"1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"C8";"1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"v01";
"J1";"SJ-2524-SMT";"SJ-2524-SMT";"SJ-2524-SMT";"";"";"";
"J2";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"";
"J3";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"MK1";"SPU0410LR5H-QB";"SPU0410LR5H-QB";"SPU0410LR5H-QB";"Knowles";"";"";
"R1";"1.5 k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R2";"10 k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R3";"10 k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R4";"100 k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"U$5";"TEST_PAD-0.4X0.1";"TEST_PAD-0.4X0.1";"TESTPAD_10.16X2.54";"";"";"";
"U1";"LMV793MF";"LMV793MF";"SOT23-5";"Texas Instruments";"";"";
"U2";"MIC5365-3.3YD5";"MIC5365-X.XXYD5";"SOT23-5";"";"";"";
